"Instagram","Bike","Fork","Rear Shock","Handlebar","Dropper Post","Saddle","Crankset","Derailleur","Brake Lever","Brake Caliper","Wheels","Tires","Pedals","Shoes","Helmet","Protection","Goggles"
"finniles","Specialized;Demo;Prototype pre-Demo11","Ohlins;DH38;Prototype electronic","Ohlins;Prototype coil;Electronic damping","Joystick;Analog Carbon;35mm 780mm 20mm rise","","","SRAM;X01 DH;165mm","SRAM;X01 DH;7-speed","Magura;MT7;Prototype carbon levers","Magura;MT7;4-piston","DT Swiss;EX471 + DT Swiss 240;MX mullet","Specialized;Butcher 2.5","Crankbrothers;Mallet DH","Specialized;2FO DH Clip","Alpinestars","Alpinestars","100%"
"amaurypierron4","Commençal;Supreme DH V5.2;Mullet Large","Fox;40 Factory 29"";203mm","Fox;Float X2 Factory;525lb spring","Burgtec;Ride Wide Alloy DH;31.8mm 30mm rise","Burgtec;Xpress Alloy","Fizik;Alpaca X5","SRAM;X01 DH;165mm 36T","SRAM;X01 DH;7-speed","SRAM;Code Ultimate Stealth","SRAM;Code Ultimate Stealth;220mm HS2 rotors","Crankbrothers;Synthesis DH","Schwalbe;Magic Mary (F) + Tacky Chan (R);First Ride 29""+27.5""","HT;X3Ti","","Bluegrass;Legit Carbon","DHaRCO","100%"
"asavermette","Frameworks;DH;Size Large","Fox;40 Factory;92 PSI 5 volume spacers","Fox;RAD prototype;Electronic coil 525lb","Spank;Spike 35 Vibrocore;780mm 40mm rise","","","5DEV;R-SPEC;165mm + Ochain 9°","SRAM;X0 DH;7-speed","TRP;EVO PRO","TRP;EVO PRO;220mm Galfer rotors","ENVE;Dark6;Mullet MX","Continental;Argotal (F) + Kryptotal (R);DH SuperSoft","Crankbrothers;Mallet DH","","","",""
"jacksongoldstone","Santa Cruz;V10;Carbon size M","Fox;40 RAD prototype;Grip X2","Fox;DHX2;475lb spring","OneUp;Carbon V2;35mm rise","Burgtec;Xpress","Burgtec;Cloud Boost","Shimano;Saint;160mm + Ochain 9°","Shimano;Saint;10-speed","Shimano;Prototype;New Saint lever","Shimano;Prototype caliper","Reserve;30DH Carbon;Chris King hubs MX","Maxxis;Prototype DH;MaxxGrip 29""+27.5""","Crankbrothers;Mallet DH","","100%","Fox Racing","100%;Status"
"ethancraik","Scott;Gambler;XL reach 477mm","Fox;40;75-80 PSI 6 volume spacers","Fox;Float X2;230 PSI hidden","","","Syncros;Kaslo","Shimano;Saint;160mm","Shimano;Saint","Shimano;Saint","Shimano;Saint;TRP rotors 203/220mm","Race Face;ARC 30 Heavy Duty","Michelin;DH Mud;29"" F + 27.5"" R Rimpact insert","Shimano;Saint","","","",""
"jordanwilliams17","Specialized;Demo;Prototype pre-Demo11","Ohlins;DH38 prototype;Electronic","Ohlins;Prototype coil","Joystick;Analog Carbon;35mm","","","SRAM;AXS Eagle T-Type;7-speed","SRAM;AXS Eagle T-Type","","","DT Swiss;MX mullet","Specialized;Team spec","Crankbrothers;Mallet DH","Specialized;2FO DH","","",""
"lorisvergier","Commençal;Supreme DH V5.2;Mullet","Fox;40 Factory 29""","Fox;Float X2","Burgtec;Ride Wide DH;31.8mm 30mm rise","Burgtec;Xpress","Fizik;Alpaca X5","SRAM;X01 DH;165mm 36T","SRAM;X01 DH;7-speed","SRAM;Code Ultimate Stealth","SRAM;Code Ultimate Stealth;220mm rotors","Crankbrothers;Synthesis DH","Schwalbe;Magic Mary (F) + Tacky Chan (R);First Ride","HT;X3Ti","","","DHaRCO",""
"troybrosnan","Canyon;Sender CFR;Large high-pivot","RockShox;Boxxer Ultimate;Flight Attendant","RockShox;Vivid Coil Ultimate;Flight Attendant","Canyon;G5 aluminum;38mm rise","","Ergon","SRAM;X0 DH;165mm","SRAM;X0 DH;7-speed","SRAM;Maven Ultimate","SRAM;Maven Ultimate","DT Swiss;240 hubs;MX","Maxxis;Shorty (F) + High Roller (R);DH casing","Crankbrothers;Mallet DH","","","",""
"luca_shaw","Canyon;Sender CFR;Large reach 492mm","RockShox;Boxxer;Flight Attendant","RockShox;Vivid Coil Ultimate;500lb spring","Canyon;G5 aluminum;40mm rise 790mm","","","SRAM;X0 DH carbon;165mm + Ochain 9°","SRAM;X0 DH;7-speed","SRAM;Maven Ultimate","SRAM;Maven Ultimate","DT Swiss;FR1500 + DT Swiss 240;MX mullet","Maxxis;High Roller;29"" F + 27.5"" R DH","Crankbrothers;Mallet DH","","","",""
"alran_till_mtb","Commençal;Supreme DH V5.2;Mullet","Fox;40 Factory","Fox;Float X2","Burgtec;Ride Wide DH","Burgtec;Xpress","Fizik;Alpaca X5","SRAM;X01 DH;165mm 36T","SRAM;X01 DH;7-speed","SRAM;Code Ultimate","SRAM;Code Ultimate","Crankbrothers;Synthesis DH","Schwalbe;Magic Mary (F) + Tacky Chan (R)","HT;X3Ti","","","DHaRCO",""
