"Instagram","Bike","Fork","Rear Shock","Handlebar","Dropper Post","Saddle","Crankset","Derailleur","Brake Lever","Brake Caliper","Wheels","Tires","Pedals","Shoes","Helmet","Protection","Goggles"
"annanewkirk_","Frameworks;DH","Fox;40 Factory","Fox;Float X2","Spank;Spike 35 Vibrocore;750mm 25mm rise","","","5Dev;160mm;36T chainring","TRP;Evo 7 DH","TRP;DH-R Evo","TRP;DH-R Evo;220mm rotors","Enve;M9 Pro;Mullet MX","Continental;Kryptotal DH;SuperSoft","Crankbrothers;Mallet DH","","","",""
"_lisa.baumann._","Commençal;Supreme DH V5;Mullet 29/27.5","Fox;40 Factory","Fox;Float X2 Factory","","","","SRAM","SRAM;GX DH","","SRAM;Maven","","Schwalbe","","","","",""
"gloria_scarsi","Zerode;G3;Aluminium gearbox high-pivot DH","SR Suntour;RUX 29;Custom damper tune","SR Suntour;Voro Coil;400lb custom tune","","","","Pinion;C1.9;9-speed gearbox + Gates belt","Pinion;C1.9 gearbox","Hope;GR4","Hope;GR4 / TR4","Hope;Pro 5 hubs + Fortus 30 rims","Michelin;DH22 Racing Line;2.4""","Crankbrothers;Mallet DH","","","",""
"marine_cabirou","Canyon;Sender CFR;Prototype high-pivot mullet 200mm","RockShox;Boxxer Ultimate;Charger 3","RockShox;Vivid Coil Ultimate","","","Ergon","SRAM;X01 DH","SRAM;X01 DH","SRAM;Maven","SRAM;Maven Silver;4-piston","DT Swiss;FR1500","Maxxis;Assegai (F) + DHR II (R);DH MaxxGrip","Crankbrothers","","Troy Lee Designs","Troy Lee Designs",""
"hatt1e_harnden","Gamux;Sego;Carbon gearbox belt-drive 6-bar","Manitou;Dorado Pro","Manitou;Mara Pro","Protaper;A38 Medium","Hope;Carbon","Fizik","Pinion;C1.6i;155mm SmartShift electronic","Pinion;C1.6i SmartShift;Gates Carbon Drive belt","Hayes","Hayes;Dominion A4","Reynolds;Blacklabel 309/307;Carbon + Sun Ringle hubs","Schwalbe;Albert Gravity Pro","Crankbrothers;Mallet DH","","","",""
"sachaearnestt","Trek;Session;Prototype 2025","RockShox;Boxxer;BlackBox prototype","RockShox;Vivid;Prototype","Burgtec","","","SRAM","SRAM;X0 DH","SRAM;Maven","SRAM;Maven","Bontrager;Prototype","Maxxis","Crankbrothers","","","",""
"jessblewitt_","Scott;Gambler RC;Mullet 27.5 rear custom chrome linkage","Fox;40;Orange prototype tune","Fox","Syncros","","","Shimano","Shimano","Shimano;XTR M9120","Shimano;XTR M9120","DT Swiss","Michelin","","","","",""
"nina.hoff96","Santa Cruz;V10;Carbon 208mm VPP","Fox;40 Factory RAD;Prototype Grip X2","Fox;DHX2","Burgtec","","","Shimano;Saint","Shimano;Saint","Shimano;Saint;Prototype caliper","Shimano;Saint;Prototype","Reserve;Carbon DH;Chris King hubs","Maxxis;Assegai (F) + DHR II (R);DH MaxxGrip","","","","",""
"elliehulsebosch","Santa Cruz;V10;Carbon 208mm VPP","Fox;40 Factory RAD;Prototype","Fox;DHX2","Burgtec","","","Shimano;Saint","Shimano;Saint","Shimano;Saint","Shimano;Saint","Reserve;Carbon DH;Chris King hubs","Maxxis;Assegai;DH MaxxGrip","","","","",""
"valentinahoell_","Commençal;Supreme DH V5;Mullet 2026 (YT Tues CF 2025)","RockShox;Boxxer Ultimate;BlackBox Flight Attendant","RockShox;Super Deluxe Coil;425lb spring","Renthal;Fatbar 35;760mm 20mm rise","","","SRAM;X01 DH;34T chainring","SRAM;X01 DH","SRAM;Maven Ultimate","SRAM;Maven Ultimate;200mm rotor","DT Swiss;FR 1500;29"" front","Continental;Kryptotal;29""×2.4 front + rear","Crankbrothers;Mallet DH","Five Ten","","","Oakley"
